,roles,companies,locations,experience,skills
181,Data Scientist,Bonbloc Technologies,Vijayawada,3-5 Yrs,"Statistical modeling, tableau, data science, power bi, Data analytics, Forecasting, SQL, Python"
182,Data Scientist,Luxoft,Bengaluru,5-9 Yrs,"Stakeholder Engagement, Front end, Version control, GIT, Machine learning, Agile, data visualization, Stakeholder management"
183,Data Scientist (Artificial Intelligence),Suzva Software Technologies,Mumbai,8-10 Yrs,"Artificial Intelligence, GenAI, Java, Document Processing, Azure, NLP, AI Model Deployment, CICD"
184,Data Scientist- Semantic Search,Pragmaticplay India,Hyderabad,6-10 Yrs,"Computer science, Computer vision, deep learning, GIT, Version control, Analytical, Machine learning, System design"
185,Data Scientist,Hanker Systems (india),"Chennai, Bengaluru",8-12 Yrs,"PySpark, Statistics, Pytorch, Python, Flask, random forest, Machine Learning, neo4j"
186,Expert Clinical Data Scientist,NOVARTIS,Mumbai,2-7 Yrs,"Data validation, Data management, Coding, GCP, Database design, Reconciliation, Clinical research, Data quality"
187,Data Scientist,Kanini Software Solutions,"Hybrid - Pune, Chennai, Bengaluru",5-8 Yrs,"Generative AI, Natural Language Processing, Machine Learning, Deep Learning, Python, Process, Languages, Artificial Intelligence"
188,Data Scientist - AI,Agivant Technologies,Hyderabad,8-10 Yrs,"Computer science, Backend, Version control, GIT, Web development, Javascript, PHP, SQL"
189,Data Scientist,Vervenest Technologies,Bengaluru,5-9 Yrs,"Data Science, Data Engineering, HuggingFace, MLflow, Anthropic, Machine Learning, NumPy, Apache Spark"
190,Data Scientist,US FinTech Company,Hybrid - Bengaluru,4-7 Yrs,"Risk Analytics, Risk, SQL, Risk Analysis, Analysis, Data, Analytics"
191,Data Scientist,Natwest Services,"Mumbai, Chennai, Gurugram, Bengaluru",8-13 Yrs,"Data analysis, Cloud Applications, Machine learning, Agile, Scrum, Business strategy, Analytics, Financial services"
192,Data Scientist -AWS Sagemaker,Ltimindtree,"Hybrid - Mumbai, Hyderabad, Bengaluru",5-9 Yrs,"Data Scientist, Aws Sagemaker, Machine Learning, Deep Learning, AWS, Data, Machine"
193,Data Scientist,NatWest Markets,"Mumbai, Chennai, Gurugram, Bengaluru",8-13 Yrs,"Data analysis, Cloud Applications, Machine learning, Agile, Scrum, Business strategy, Analytics, Financial services"
194,Data Scientist(GEN AI LLM),Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",2-5 Yrs,"Generative Ai, LLM, Python, Fine Tuning, Deployment, Model Development, Gen, Performance"
195,Data Scientist,BAY Area Technology Solutions,Bengaluru,5-10 Yrs,"Machine Learning, python, data analysis, natural language processing, power bi, microsoft azure, sql, r"
196,Data Scientist-Chennai,Grid Dynamics,Chennai,6-11 Yrs,"Data Science, Azure, Aiml, RAG, Python, Microsoft Azure, Science, Data"
197,Data Scientist ( AI / ML),Aspire Systems,"Kochi, Chennai, Bengaluru",3-8 Yrs,"Machine Learning, deep learning, python, CNN, RNN, Generative AI, natural language processing, data mining"
198,Data Scientist | New Scienaptic AI,Scienaptic Systems,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,"Business process, Loans, Usage, Business analytics, Analytical, XML, Finance, Credit underwriting"
199,Data Scientist with AI/ML,Software Company,"Hyderabad, Chennai, Bengaluru",5-10 Yrs,"Data Science, Natural Language Processing, gen AI, NLU, NLG, Machine Learning, Python, SQL"
200,Data Scientist,360DigiTMG,"Hyderabad, Bengaluru",3-4 Yrs,"AI models, NLP, Data Scientist, Big Data, Machine Learning, Python, Artificial Intelligence, Machine"
201,Data Scientist,Webkit24,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-9 Yrs,", r, tableau, microsoft azure, machine learning, statistics, sql, communication skills"
202,Data Scientist,Emagine,Bengaluru,3-7 Yrs,", python, tableau, power bi, azure devops, sql, communication skills, statistics"
203,Data Scientist,Leading Client,Mumbai,4-8 Yrs,"Data Science, R, NLP, data analysis, EDA, GCP, SQL, Python"
204,Data Scientist,Coromandel International,Hyderabad,5-10 Yrs,"Data Science, Artificial Intelligence, Natural Language Processing, Machine Learning & AI Python & SQL  Azure ML  Power BI  Big Data, Python, Ml, Process, Microsoft Azure"
205,Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,1-5 Yrs,"Logistic regression, GCP, Bfsi, Analytical, risk modeling, Machine learning, Healthcare, Credit risk"
206,Data Scientist,Algoleap Technologies,Bengaluru,5-7 Yrs,"C++, Business objects, Google Analytics, Simulation, Coding, Analytical, MySQL, Javascript"
207,Data Scientist,Quiksync Technologies Llp,Bengaluru,4-7 Yrs,"Data Science, Data Wrangling, Machine Learning, Python, SQL, Tensorflow, Pytorch, Pandas"
208,Customer Data Scientist,h2o.ai,Bengaluru,2-7 Yrs,"Text mining, data science, Enterprise applications, Network analysis, Machine learning, Healthcare, Data mining, Open source"
209,Data Scientist,Databricks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,"Computer science, SAN, Operations research, data science, GCP, spark, Diversity and Inclusion, Machine learning"
210,Data Scientist(Remote),Codvo,Pune,5-10 Yrs,"statistical techniques, natural language processing, web services, pytorch, machine learning algorithms, rest, python, neural networks"
211,Data Scientist,Dendrite,Pune,,
212,"Data Scientist – Generative AI, LLM, Machine Learning",Sadbhav Futuretech / Please don't Mention client name.,Bengaluru,3-8 Yrs,"Generative AI, LLM Observabilty, MLOps, LLMOps, ML Observability, LLM, Machine Learning, Machine"
213,Data Analyst/Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, deep learning, data science, Coding, Artificial Intelligence, Machine learning, Data processing, Data Analyst"
214,Data Scientist,Among the Top ten IT Company in India,Hybrid - Bengaluru,5-7 Yrs,"Data Science, Pyspark, Machine Learning, Python, R, Hive, Statistical Modeling, Spark"
215,Data Scientist- Commercial,IT Services & Consulting,Ahmedabad,5-7 Yrs,"analytics, Machine learning, Time series Models, Econometric models, Risk prediction modelling, Natural language Processing, Artificial neural network, Statistical modelling"
216,"Data Scientist - LLM,NLP",Evnek,Pune,3-7 Yrs,"Data Science, cloud, Azure, Data Factory, R, NLP, Generative AI, predictive analytics"
217,Data scientist| 5+ Years| Bangalore,Gryphon Hytech Services,Bengaluru,5-8 Yrs,"Data Science, Excel, Power Bi, Statistical Analyses, Python, Mathematics, Statistics, Data"
218,Data Scientist / Python + AWS +AI/ML,Hiring for Client and industry is IT Industry,"Mumbai, Delhi / NCR, Bengaluru",4-9 Yrs,"Python, Object Detection, Image processing, rest API, AI, Machine Learning, SQL, Tensorflow Deep Learning"
219,Data Scientist - Credit Risk,Leading Client,Noida,3-5 Yrs,"Data Science, algorithms, python, data analytics, mathematics, documentation, data integrity, sql"
220,Data Scientist,Vision Beyond,"Hyderabad, Chennai, Bengaluru",12-20 Yrs,"Large Language Model, Aiml, Data Science, Artificial Intelligence, Natural Language Processing, LLM, Machine Learning, Python"
221,Data Scientist,IT Industry,"Bhubaneswar, Hyderabad, Bengaluru",8-12 Yrs,"Data Science, Machine Learning, Python, Sklearn, NLP, Naive Bayes, Pandas, Polars"
222,data scientist,CN Solutions,Pune,4-6 Yrs,"sql, data science, pytorch, machine learning algorithms, aws, algorithms, python, natural language processing"
223,Data Scientist,Strategic Skill Tech,"Indore, Hyderabad, Ahmedabad",5-8 Yrs,"Data Science, Azure, Senior Data Scientist, Machine Learning, SQL, DevOps, MLOps, PyTorch"
224,Data Scientist with Gen AI,consulting services,Hybrid - Bengaluru,6-10 Yrs,"python, generative ai, Machine Learning, Time Series, gen ai, ML Operations, ML ops engineer, Regression"
225,Data scientist (Banking domain)  || US Banking Client,Aspyra Hr Services,"Hybrid - Pune, Gurugram, Bengaluru",3-8 Yrs,"Python, Predictive Modeling, Logistic Regression, Credit Risk Modelling, Risk Modeling, Machine Learning, scorecard, Model Development"
226,Data Scientist Consultant and Manager,Fortune Global 500 IT Services Firm,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",5-10 Yrs,"GenAI, Data Science, Team Management, Pyspark, Global Solutions, Global Strategy, Data Visualization, Data Cleansing"
227,Data Scientist,Fortune Global 500 IT Services Firm,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",1-4 Yrs,"Gen Ai, Generative AI, Machine Learning, Tensorflow, Large Level Model, Pyspark, Pandas, Cloud"
228,Data Scientist,Digital Airport Transformation,Bengaluru,8-13 Yrs,"Generative AI, OpenCV, ML/DL, Large Language Models, Python, CI/CD pipelines, Containerization, Weights & Biases"
229,Data Scientist,One of the Largest IT Firm in India,Bengaluru,6-11 Yrs,"Data Science, Machine Learning, Python, robust code, Deep Learning, Coding, Robust, Data"
230,MDM Data Scientist,Amgen Inc,Hyderabad,3-8 Yrs,"artificial intelligence, data science, ml, python, aiml, confluence, data management, pyspark"
231,Data Scientist,Global Fpo,Noida,3-8 Yrs,"Computer vision, spark, Machine learning, Hadoop, Cloud, Programming, Natural language processing, big data"
232,Data Scientist,Global Fpo,Noida,3-8 Yrs,"Computer vision, spark, Machine learning, Hadoop, Programming, Natural language processing, Training and Development, big data"
233,Data Scientist - NLP/Artificial Intelligence,EzeiaTech,Gurugram,1-2 Yrs,"natural language processing, information retrieval, presentation skills, machine learning, deep learning, python, scikit-learn, artificial intelligence"
234,Data Scientist - NLP/Artificial Intelligence,EzeiaTech,"Gurugram, Gurgaon/Gurugram",1-2 Yrs,"Data Science, Tensorflow, NLP, Artificial Intelligence, Machine Learning, Deep Learning, Python, Machine"
235,Data Scientist - Machine Learning,EzeiaTech,Gurugram,2-6 Yrs,"Machine Learning, Data Science, Data Scientist, Statistical Modeling, Data Visualization, Data Visualization Tools, AWS, Python"
236,Expert Clinical Data Scientist,Sandoz,Mumbai,4-8 Yrs,"Data validation, Coding, GCP, Database design, Reconciliation, data governance, Clinical research, Data quality"
237,Data Scientist,Natwest Services,Gurugram,5-9 Yrs,"Computer science, Data analysis, Usage, Cloud Applications, Machine learning, Agile, Scrum, Business strategy"
238,Data Scientist + AWS,Iris Solutions,Noida,5-7 Yrs,"Health insurance, deep learning, GIT, data science, Machine learning, Agile, linear regression, AWS"
239,Data Scientist,Aegis Media,"Pune, Gurugram",2-5 Yrs,"deep learning, Statistical analysis, data science, Machine learning, Stakeholder management, Analytics, SQL, Python"
240,Data Scientist,NatWest Markets,Gurugram,8-13 Yrs,"Data analysis, Cloud Applications, Machine learning, Agile, Scrum, Business strategy, Analytics, Financial services"
241,Data Scientist Python,Brandsmashers,Bhopal,1-3 Yrs,"Pandas, Matplotlib, Scikit-learn, NumPy, Data, Python"
242,Data Scientist ( Azure ),Evnek,Mumbai,3-5 Yrs,"Azure, SQL queries, data extraction, PySpark, Azure Data Stack, ETL, Python, Microsoft Azure"
243,Data Scientist,Viaprom Technologies,Mumbai,4-8 Yrs,"Data analytics, data analysis, SAS, Risk Modeling, Machine Learning, Insurance Analytics, SQL, Python"
244,Data Scientist Mahindra AI,Ralas Automobiles,Mumbai Suburban,1-5 Yrs,", natural language processing, speech, computer vision, microsoft azure, big data, reinforcement learning, sql"
245,Data Scientist Computer Vision,Esri India,New Delhi,3-7 Yrs,"pandas, , deep learning, 3d, python, data science, scikit-learn, numpy"
246,Specialist Data Scientist,Atlasrtx,Pune,3-7 Yrs,"Automation, Technical writing, GCP, Analytical, Machine learning, Flex, Analytics, SQL"
247,Data Scientist ( Machine Learning / AI ),Somnetics Som Imaging Informatics,Kolkata,5-8 Yrs,"deep learning, Team management, data science, Neural networks, Machine learning, Programming, Python, Data"
248,Data Scientist,Everestek Technosoft Solutions,"Mumbai, Indore, Surat",3-7 Yrs,"cd, continuous integration, python, github, cloud services, natural language processing, scikit-learn, nltk"
249,Data Scientist,Fibe,Pune,1-4 Yrs,"Decision Tree, Regression, Machine Learning, Statistics, AI methods, Tensorflow, Neural Networks, Support Vector Machine"
250,Data Scientist AI/ML,MNC Group,Hybrid - Gurugram(Cyber City),1-2 Yrs,"Data Science, Artificial Intelligence, data scientist, Machine Learning, Python, Machine, Data, Ml"
251,Data Scientist,Salmon Commerce,Hybrid - Hyderabad,5-10 Yrs,"GIT, Machine Learning, Python, Data, Machine"
252,Data Scientist _ Product,Head Infotech India,Hyderabad,2-4 Yrs,"SQL, SciPy, Pandas, Plotly, Seaborn, Numpy, Scikit-Learn, Data"
253,Data Scientist- Business Intelligence,Convergent View Research,Noida(C Block Noida Sector 62),2-5 Yrs,"Data Science, Power Bi, Machine Learning, Analytics, Communication Skills, Excel, Quantitative Research, Python"
254,Data Scientist,Head Infotech India,Hyderabad,2-5 Yrs,"Python, Data Science, SciPy, Excel, Pandas, Plotly, Statistical Modeling, Seaborn"
255,Data Scientist,A leading NBFC Client,Mumbai,7-12 Yrs,"Data Science, python, machine learning, sql, Machine, Science, Data"
256,Data Scientist - Retention,Head Infotech India,Hyderabad,4-6 Yrs,"Data Science, SciPy, Pandas, ML algorithms, Numpy, Python, SQL, Algorithms"
257,Data Scientist,Micron Software,Sanand,8-13 Yrs,"Data analysis, Analytical, Artificial Intelligence, Machine learning, Javascript, Analytics, SQL, Python"
258,Data Scientist,Kardee,Remote,4-9 Yrs,"Artificial Intelligence, Natural Language Processing, Machine Learning, Data Science, Python, Tensorflow, Hadoop, Deep Learning"
259,Data Scientist,Scry Analytics,"Hybrid - Noida, Pune, Gurugram",3-6 Yrs,"Python, Tensorflow, Object Detection, langgraph, Cnn, Natural Language Processing, llamaindex, Image Recognition"
260,Data Scientist,Fortune Global 500 IT Services Firm,Gurugram,2-6 Yrs,"Data Science, Aiml, Python, Natural Language Processing, Machine Learning, Machine, Science, Process"
261,Data Scientist-6+ years-Gurugram,Crescendo Global,Gurugram,6-8 Yrs,"Predictive Modeling, Linear Regression, Python, Random Forest, Logistic Regression, Data Scientist, Forest, Logistics"
262,Data Scientist 7+ Yrs C2H Role,Greetings from BCforward INDIA TECHNOLOGIES PRIVATE LIMITED.,Remote,7-12 Yrs,"Data Scientist, Spark, AWS, Data Bricks, Python, PySpark, Python for Data Science, SQL"
263,Data Scientist || Pune || Investment Banking MNC,Investment Banking MNC,Hybrid - Pune,3-6 Yrs,"data science, Data Scientist, Machine Learning, Investment banking, Machine, Science, Data, Investment"
264,Data Scientist( Computer vision),Prowesstics It Services,Chennai,3-6 Yrs,"Pytorch, Tensorflow, Artificial Intelligence, Computer Vision, Python, Object Detection, Azure Cloud, Image Processing"
265,Data Scientist,Dunnhumby,Hybrid - Gurugram,2-7 Yrs,"Data Science, Statistical Modeling, Python, Artificial Intelligence, Al, Machine Learning, Deep Learning, SQL"
266,Data Scientist - Machine Learning / APICS,CARBYNETECH,Hyderabad,3-8 Yrs,"Machine Learning, Data Science, R, NLP, Neural networks, Artificial Intelligence, Data Management, Deep Learning"
267,Data Scientist,BFSI,"Navi Mumbai, Mumbai (All Areas)",3-8 Yrs,"Data Science, Natural Language Processing, Machine Learning, Deep Learning, Python, Processing, Machine, Languages"
268,Data Scientist - Image Recognition / Machine Learning,CARBYNETECH,Hyderabad,5-10 Yrs,"Image Recognition, Machine Learning, NLP, Time Series Analysis, Artificial Intelligence, Data Management, Scikit-learn, statistical data analysis"
269,Data Scientist,Suzva Software Technologies,Jakarta,5-10 Yrs,"Data Science, R, Azure, GCP, statistical modeling, data visualization, machine learning, AWS"
270,Data Analyst/Scientist Required in Canada/Aus under Govt Visa process,CN Immigration,"Australia, Canada, International",3-8 Yrs,"Data Science, Data Scientist, Data Analysis, Data Analyst, Process, Au, Data, Science"
271,Data Scientist - 1 at An E-commerce Unicorn,Recruito,Remote,0-2 Yrs,"Computer Vision, Machine Learning, Python, Machine, Computer, Vision, E-commerce, Data"
272,Data Scientist,Data Collection Infotech,Bengaluru,0-4 Yrs,"Logistic regression, Data analysis, Client servicing, Trend analysis, Data mining, Individual Contributor, SQL, Python"
273,Data Scientist,Citriot,Bengaluru,0-2 Yrs,"Computer vision, C++, Image processing, Memory management, Neural networks, MySQL, Machine learning, Stored procedures"
274,Product Data Scientist,Sundial,Bengaluru,0-7 Yrs,"Economics, Analytical, Programming, Statistics, Data, Program, Analytics"
275,Data Scientist,Dwplacesolutions,Bengaluru,3-5 Yrs,"Data Science, Machine Learning, Tensorflow, R, Artificial Intelligence, Natural Language Processing, Neural Networks, Chatbot"
276,Data Scientist,Cornerstone India,Hyderabad,,
277,Data Scientist Analyst Asset and Wealth Management Risk,JPMorgan Chase Bank,Bengaluru,3-9 Yrs,"Analyst, Front office, Wealth management, Analytical, Machine learning, Performance testing, Risk management, SQL"
278,Data Scientist,Boss Staffing Solutions India,Hyderabad,0-4 Yrs,"Data Management And Analysis, Analytics, Model Development, Testing Methodologies, Research And Development, Data analysis, Data management, Research"
279,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, SQL, Python, Python Data"
280,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, SQL, Python"
281,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
282,Data Scientist - Phd only,Anurag Electronic Gujarat,Mumbai,0-2 Yrs,"Natural Language Processing, Phd, Deep Learning, Data Science, Languages, Processing, Data, Science"
283,Data Scientist,L&T Technology Services (LTTS),Mumbai,0-1 Yrs,"Data collection, Predictive modeling, data visualization, Business solutions, Revenue generation, Monitoring, Testing, Revenue"
284,Lead Gen AI Data Scientist - GenAI,Fractal Analytics,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",2-7 Yrs,"Career development, GCP, Analytical, Machine learning, Application development, Open source, Analytics, SQL"
285,Data Analyst / Data Scientist,The Dhan Academy,Hyderabad,2-6 Yrs,"Computer science, Market analysis, Logistic regression, Data analysis, Operational excellence, SAS, Debugging, Data mining"
286,Data Scientist,Reycruit,Hyderabad,5-10 Yrs,"Data Science, Scikit-Learn, Python, Science, Data"
287,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
288,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, Usage, data science, Networking, Coding, Analytical, Manager Technology"
289,Data Scientist,Akaike Technologies,Bengaluru,0-6 Yrs,"deep learning, Data analysis, GIT, Analytical, MySQL, Machine learning, data visualization, Data mining"
290,Data Scientist,Hbic Solutions,Hyderabad,0-2 Yrs,"deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing"
291,Data scientist,Growth Jockey,Gurugram,0-1 Yrs,"Computer science, Data analysis, SAS, Machine learning, Data structures, Data processing, Predictive modeling, Pattern recognition"
292,DATA SCIENTIST WITH PYTHON,Brain Insight,"Atpadi, Vellore",0-1 Yrs,"Automation, Data analysis, Front end, data science, Data management, Database management, Django, SQL"
293,Deep Learning / Machine Learning / Data Scientist Intern,Pivotchain Solutions,Pune,,
294,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, Python, Data"
295,Data Scientist,Sociomix,New Delhi,0-5 Yrs,"Statistical modeling, Analytical, Machine learning, Deployment, data visualization, Data mining, Python, Modeling"
296,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, data science, Networking, Manager Technology, SQL"
297,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Networking, Manager Technology, SQL, Python, Python Data"
298,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Usage, data science, Networking, Coding, Manager Technology, Research, SQL"
299,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Coding, Manager Technology, Continuous improvement"
300,Data Scientist,Flairminds Software,Pune,0-3 Yrs,Data Scientist
301,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Coding, Manager Technology, SQL"
302,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Data management, data science, Javascript, microsoft, Statistics, Analytics, SQL, Data"
303,Data Scientist,Scimitar Research,Pune,0-1 Yrs,"Computer science, Data analysis, PDF, data science, data manipulation, Demand forecasting, Machine learning, Programming"
304,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, SQL, Python"
305,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, Coding, Artificial Intelligence, Programming, Data analytics"
306,Data Scientist,Casepoint,Surat,0-1 Yrs,"Statistical analysis, Machine learning, Cloud, Data collection, data integrity, Data mining, Monitoring, Analytics"
307,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Data analysis, data science, Analytical, Trend analysis, Machine learning, Operations, Analytics, SQL"
308,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, data science, Networking, Manager Technology, SQL"
309,Data Scientist - GenAI & LLMs,Acess Meditech,Hyderabad,0-3 Yrs,Data Scientist - GenAI & LLMs
310,Data Analyst / Data Scientist / Data Engineer - 2025 Passout Drive,Rudder Analytics,Remote,0 Yrs,"Data Analytics, Business Intelligence, Data Engineering, Data Visualization, Engineering, Data, Data analysis, Intelligence"
311,ML / Data Scientist / Gen AI Specialist,Aiqod,Pune,0-4 Yrs,"software architecture, Interpersonal skills, data science, Data modeling, Analytical, Machine learning, Data structures, Statistics"
312,ML / Data Scientist / Gen AI Specialist,Gibots,Pune,0-4 Yrs,"Relationship management, Health insurance, Sales, Networking, Relationship building, PAAS, Customer support, B2B Sales"
313,Data Scientist - L3,Wipro,Bengaluru,3-5 Yrs,"machine learning, data engineering, deep learning, data science, ml, python, natural language processing, scikit-learn"
314,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"data analysis, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
315,Data Scientist,Capgemini,Bengaluru,4-9 Yrs,"python, data manipulation, numpy, machine learning algorithms, statistics, data analysis, scikit-learn, pyspark"
316,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
317,Data Scientist - L3,Wipro,Bengaluru,5-7 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
318,"Data Scientist, Product, Google Home",Google,Bengaluru,1-4 Yrs,"python, r, natural language processing, data science, analysis, machine learning, sql, Data"
319,Data Scientist - AI Solutions For Electrification,Siemens,Bengaluru,4-9 Yrs,"python, data manipulation, dl, reinforcement learning, ml, scikit-learn, microsoft azure, aws sagemaker"
320,Data Scientist-Machine Learning,Infosys,Bengaluru,7-9 Yrs,"python, spss, sql, r, analysis tools, sas, forecasting, pyspark"
321,Data Scientist - L3,Wipro,Bengaluru,5-7 Yrs,"algorithms, python, machine learning, deep learning, tensorflow, natural language processing, data validation, ml deployment"
322,"DISTINGUISHED, DATA SCIENTIST",Walmart,Bengaluru,15-20 Yrs,"deep learning, C++, Networking, data science, Machine learning, SEZ, big data, Information technology"
323,Data Scientist,Siemens,Bengaluru,7-10 Yrs,"Python, Error Correction Models, State Space Models, ARIMA, VAR, R coding, Deep Learning, SQL coding"
324,"Data Scientist, gTech Ads Solutions",Google,Hyderabad,2-4 Yrs,"r, python, digital analytics, natural language processing, data science, machine learning, sql, Digital"
325,Data Scientist,Infosys,Bengaluru,9-11 Yrs,"business acumen, data science, model development, machine learning algorithms, statistics, continuous integration, snowflake, python"
326,Data Scientist,Nits Solutions,Hybrid - Gurugram,3-8 Yrs,"machine learning, Deep Learning, Data Science, NLP, Python, Predictive Modeling, Natural Language Processing, Regression"
327,Data Scientist,Sun Life Global Solutions,"Hybrid - Gurugram, Bengaluru",5-10 Yrs,"Data Science, LLMs, Data Scientist, Azure ML Studio, Machine Learning Algorithms, Azure Machine Learning, Machine Learning, Deep Learning"
328,Data Scientist,Ssms Infotech,Bengaluru,2-7 Yrs,"Statistical analysis, Data mining, Analysis, Data, Statistics"
329,Data Scientist,Schneider Electric,Bengaluru,6-8 Yrs,"Computer science, Data management, Analytical, Machine learning, Agile, Information retrieval, Open source, Analytics"
330,Data Scientist,Capgemini,Bengaluru,4-7 Yrs,"python, software development, software design, javascript, java, c++, project management, c"
331,Data Scientist,Amazon,Bengaluru,3-6 Yrs,"Computer vision, Data analysis, Statistical modeling, SAS, Machine learning, Data processing, Data quality, MATLAB"
332,Data Scientist,SAP,Bengaluru,4-7 Yrs,"Data analysis, Consulting, Machine learning, Javascript, Agile, Software implementation, Analytics, SQL"
333,Data Scientist,Hexaware Technologies,"Hybrid - Hyderabad, Chennai, Bengaluru",9-14 Yrs,"gen ai, Python, Machine Learning, Gen, Machine, Data, Artificial Intelligence"
334,Data Scientist 4,HP,Bengaluru,8-12 Yrs,"Coding, GCP, MySQL, Data quality, Firmware, Middleware, Downstream, SQL"
335,Clinical Data Scientist,AstraZeneca India Pvt. Ltd,Bengaluru,1-5 Yrs,"Computer science, Basic, Data analysis, Change management, Access management, Healthcare, Monitoring, System administration"
336,Data Scientist,Caterpillar Inc,"Chennai, Bengaluru",8-13 Yrs,"Data management, Neural networks, Analytical, Machine learning, Heavy equipment, Data structures, data visualization, Data mining"
337,Data Scientist,Accolite Software India Pvt Ltd,"Hyderabad, Bengaluru",3-7 Yrs,"Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python, Machine"
338,Data Scientist (Generative AI),Philips,Bengaluru,10-15 Yrs,"Computer vision, deep learning, Diversity and Inclusion, Machine learning, Healthcare, Natural language processing, Research, Open source"
339,Data Scientist,Merkle Inc,Bengaluru,8-13 Yrs,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
340,Data Scientist,Tech Mahindra,Bengaluru,12-15 Yrs,"deep learning, Time management, Django, Analytical, Artificial Intelligence, Machine learning, Deployment, data visualization"
341,Data Scientist,Ericsson,Bengaluru,4-6 Yrs,"Wireless, Computer science, Networking, Linux, WAN, Machine learning, Predictive modeling, Analytics"
342,Data Scientist & Analyst,Itday,Bengaluru,5-7 Yrs,"Computer science, C++, Data analysis, Simulation, Coding, MySQL, Machine learning, Javascript"
343,Data Scientist,Apple,Bengaluru,7-9 Yrs,"Computer science, data science, Data modeling, GCP, Machine learning, Information retrieval, big data, AWS"
344,Data Scientist,Juniper Networks,Bengaluru,4-8 Yrs,"snowflake, ai solutions, presentation skills, relational sql, artificial intelligence, ml, SQL, Data"
345,Data Scientist,Merkle Science,Bengaluru,8-13 Yrs,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
346,Data Scientist,Istar Business Solutions,Chennai,4-9 Yrs,"Data Science, Machine Learning, Deep Learning, Python, SQL, Cloud Platform, Data, Science"
347,Forecasting Analyst / Data Scientist,Locus It Services,Bengaluru,2-7 Yrs,"BPO, Analyst, Statistical modeling, Process documentation, Analytical, Trend analysis, Budgeting, Forecasting"
348,Data Scientist,Saraca Solutions,Gurugram,7-12 Yrs,"Data Science, Power Bi, Python, Azure, Machine Learning, SQL, Machine, Science"
349,Immediate requirement For Data Scientist/ML Engineer/ Chennai,Constient Global Solutions,Chennai,2-5 Yrs,"Data Science, LLM, Machine Learning, generative Ai, Artificial Intelligence, Natural Language Processing, Aiml, Fast Api"
350,Data Scientist 1,Paypal,Bengaluru,8-12 Yrs,"Automation, Workforce planning, Back office, Scheduling, Budgeting, Risk management, Forecasting, Operations"
351,Data Scientist 1,Paypal,Bengaluru,3-5 Yrs,"Data analysis, Strategic partnerships, Diversity and Inclusion, Manager Technology, Customer experience, Risk management, Forecasting, Monitoring"
