,roles,companies,locations,experience,skills
174,Data Scientist - Machine Learning,EzeiaTech,Gurugram,2-6 Yrs,"Machine Learning, Data Science, Statistical Modeling, Data Visualization, Data Visualization Tools, AWS, Python, SQL"
175,Data Scientist,Comscore,Pune,2-4 Yrs,"Unix, Computer science, E-learning, Operations research, Linux, Process improvement, Analytical, Troubleshooting"
176,Data Scientist,Nupeak It Solutions Llp,Ahmedabad,3-8 Yrs,"SAS, data science, Analytical, Troubleshooting, Statistics, Science, Analytics, Data"
177,Data Scientist,Policybazaar,Gurugram,3-8 Yrs,"Data Science, NLP, BERT, Machine Learning, Natural language processing, Machine, Science, Data"
178,Data Scientist,Crafsol Technology Solutions,"Hybrid - Mumbai, Hyderabad, Pune",3-8 Yrs,"ML algorithms, Kubeflow, NLTK, Apache Airflow, PyTorch, NLP Libraries, Genism, OpenAI libraries"
179,Data Scientist,Aspire Softserv,Ahmedabad,2-5 Yrs,"Python, Data Science, Ai Algorithms, Algorithms, Artificial Intelligence, Aiml, Machine Learning, Ml Algorithms"
180,Data Scientist,Data Radian Technologies,Remote,5-10 Yrs,"Inference, Casual, SQL, Data"
181,Data Scientist,Rarr Technologies,Remote,8-13 Yrs,"Training, Logistic regression, deep learning, Software design, Usage, data science, Machine learning, Schema"
182,Data Scientist,Xneeti Tech,Gurugram,3-7 Yrs,"Business Analytics, Artificial Intelligence, Machine Learning, Scikit-Learn, SQL, Airflow, Pyspark, Jupyter Notebook"
183,Data Scientist,Zosto Technology,Lucknow,8-13 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
184,"F2F drive-Powai LTIM office-12th April- Data Scientist, AI-ML , Prompt",Ltimindtree,Hybrid - Mumbai,6-11 Yrs,"Prompt Engineering, Aws Sagemaker, Azure Databricks, RAG, Machine Learning, Azure ML, NLP, AI/ML"
185,Data Scientist,Ele5 Solutions,Chennai,8-13 Yrs,"QA, Training, deep learning, data science, Architecture, Machine learning, Health care services, microsoft"
186,Data Scientist,Thryve Digital,"Hybrid - Hyderabad, Chennai",7-10 Yrs,"Data Scientist, Data Science, Predictive Modeling, Natural Language Processing, Statistical Modeling, Machine Learning, Deep Learning, Predictive Analytics"
187,Data Scientist,Manasa Mitr Management Consultancy,Noida,10-12 Yrs,"Data Science, Neural Networks, Deep Learning, Science, Data, Networking"
188,Data Scientist,Future Focus Infotech,Mumbai (All Areas),3-8 Yrs,"Machine Learning, SAS, Python, Data, Machine"
189,Data Scientist,IT Services & Consulting,Ahmedabad,4-6 Yrs,"Data Scientist, Google Data Studio, pandas, Power BI, data structures, Tableau, Machine Learning, NumPy"
190,Data Scientist,IT Services & Consulting,Ahmedabad,4-6 Yrs,"SQL, Google Data Studio, query optimization, Power BI, Data Scientist, data structures, Tableau, Data Studio"
191,Gen AI (AI/ML) Data Scientist,Fortune India 500 Software Product Firm,Remote,5-10 Yrs,"GENAI, Azure AI Service, Data Science, Azure Open AI, Promptflow, Azure ML Azure DevOps, Microsoft Azure, Artificial Intelligence"
192,Data Scientist -,A leading Banking organization,Mumbai (All Areas),1-3 Yrs,"Data Science, Data Scientist, Logistic Regression, Decision Tree, Model development, Natural Language Processing, Neural Networks, Machine Learning"
193,Data Scientist,Big 4 Accounting Firms,"Hybrid - Pune, Chennai, Mumbai (All Areas)",4-9 Yrs,"gen AI, Ml, Data Science, Generative AI, Machine Learning, Gen, Machine, Data"
194,Senior Data Scientist-CIS-AI and Machine Learning,SAP,Bengaluru,8-10 Yrs,"time series analysis, data science, written communication, machine learning, artificial intelligence, communication skills, Data, Analysis"
195,Senior Data Scientist-CIS-AI and Machine Learning,SAP,Bengaluru,3-7 Yrs,"Automation, Software design, Technical management, Time series analysis, Machine learning, Scrum, German, Business case"
196,Data Scientist Analyst Asset and Wealth Management Risk,JPMorgan Chase Bank,Bengaluru,3-9 Yrs,"Analyst, Front office, Wealth management, Analytical, Machine learning, Performance testing, Risk management, SQL"
197,Data Scientist,Data Collection Infotech,Bengaluru,0-4 Yrs,"Logistic regression, Data analysis, Client servicing, Trend analysis, Data mining, Individual Contributor, SQL, Python"
198,Data Scientist,Akaike Technologies,Bengaluru,0-6 Yrs,"deep learning, Data analysis, GIT, Analytical, MySQL, Machine learning, data visualization, Data mining"
199,Data Scientist,Uplers,Hybrid - Bengaluru,0-4 Yrs,"Python, TensorFlow, Computer Vision, Flink, Recommender systems, Computer, Vision, Data"
200,Product Data Scientist,Sundial,Bengaluru,0-7 Yrs,"Economics, Analytical, Programming, Statistics, Data, Program, Analytics"
201,Data Scientist,Citriot,Bengaluru,0-2 Yrs,"Computer vision, C++, Image processing, Memory management, Neural networks, MySQL, Machine learning, Stored procedures"
202,Lead Gen AI Data Scientist - GenAI,Fractal Analytics,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",2-7 Yrs,"Career development, GCP, Analytical, Machine learning, Application development, Open source, Analytics, SQL"
203,Senior Data Scientist (Artificial Intelligence Machine Learning),Beetle Hiring Solutions,"Australia, Canada, Germany",4-9 Yrs,"Artificial Intelligence, Data Science, Machine Learning, Intelligence, Senior, Science, Machine, Data"
204,Data Analyst / Data Scientist,The Dhan Academy,Hyderabad,2-6 Yrs,"Computer science, Market analysis, Logistic regression, Data analysis, Operational excellence, SAS, Debugging, Data mining"
205,Senior Data Scientist - Machine Learning,Atlassian,Bengaluru,7-12 Yrs,"Sales, data science, Artificial Intelligence, Machine learning, Support services, Customer support, Monitoring, SQL"
206,Data Scientist,Beyond Hiring,Bengaluru,8-12 Yrs,"Python, SQL, Tensorflow, PyTorch, Scikit-learn, Data"
207,Data Analyst/Scientist Required in Canada/Aus under Govt Visa process,CN Immigration,"Australia, Canada, International",3-8 Yrs,"Data Science, Data Scientist, Data Analysis, Data Analyst, Analysis, Process, Visa processing, Data"
208,Data Scientist,Achyutas Soft,Hyderabad,0-5 Yrs,"Natural Language Processing, Statistical Modeling, Machine Learning, SQL, Python, Logistic Regression, Linear Regression, Process"
209,Data Scientist,Cornerstone India,Hyderabad,,
210,Data Scientist - Entry Level,Acess Meditech,Hyderabad,0-3 Yrs,"image processing, kubernetes, python, data analysis, scikit-learn, power bi, machine learning, artificial intelligence"
211,Data Scientist - Entry level,European Company,Hybrid - Chennai,0-5 Yrs,"Web Development, Full Stack, Speech Analytics, Text Analytics, cgpt, Ai, Marketing Analytics, Data Science"
212,Data Scientist,L&T Technology Services (LTTS),Mumbai,0-1 Yrs,"Data collection, Predictive modeling, data visualization, Business solutions, Revenue generation, Monitoring, Testing, Revenue"
213,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, SQL, Python, Python Data"
214,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
215,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Manager Technology, Research, Continuous improvement, big data, SQL"
216,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, SQL, Python"
217,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, Usage, data science, Networking, Coding, Analytical, Manager Technology"
218,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Usage, data science, Networking, Coding, Manager Technology, Research, SQL"
219,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Data analysis, data science, Networking, Manager Technology, SQL, Python, Python Data"
220,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, SQL, Python"
221,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Coding, Manager Technology, Continuous improvement"
222,Data Scientist - Python,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Coding, Manager Technology, SQL"
223,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, data science, Networking, Manager Technology, SQL"
224,Python Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, data science, Networking, Manager Technology, SQL"
225,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, Usage, Coding, Artificial Intelligence, Programming, Data analytics"
226,Data Scientist,Hbic Solutions,Hyderabad,0-2 Yrs,"deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing"
227,Data Scientist,Sociomix,New Delhi,0-5 Yrs,"Statistical modeling, Analytical, Machine learning, Deployment, data visualization, Data mining, Python, Modeling"
228,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Data management, data science, Javascript, microsoft, Statistics, Analytics, SQL, Data"
229,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Data analysis, data science, Analytical, Trend analysis, Machine learning, Operations, Analytics, SQL"
230,Deep Learning / Machine Learning / Data Scientist Intern,Pivotchain Solutions,Pune,,
231,Data Scientist,Casepoint,Surat,0-1 Yrs,"Statistical analysis, Machine learning, Cloud, Data collection, data integrity, Data mining, Monitoring, Analytics"
232,Data Scientist,Scimitar Research,Pune,0-1 Yrs,"Computer science, Data analysis, PDF, data science, data manipulation, Demand forecasting, Machine learning, Programming"
233,DATA SCIENTIST WITH PYTHON,Brain Insight,"Atpadi, Vellore",0-1 Yrs,"Automation, Data analysis, Front end, data science, Data management, Database management, Django, SQL"
234,Data Scientist,Flairminds Software,Pune,0-3 Yrs,Data Scientist
235,Data Scientist,Jash Data Sciences,Pune,0-5 Yrs,"Computer science, Performance tuning, GIT, Postgresql, Django, Machine learning, OLAP, OLTP"
236,Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, Python, Data"
237,Data scientist,Growth Jockey,Gurugram,0-1 Yrs,"Computer science, Data analysis, SAS, Machine learning, Data structures, Data processing, Predictive modeling, Pattern recognition"
238,ML / Data Scientist / Gen AI Specialist,Gibots,Pune,0-4 Yrs,"Relationship management, Health insurance, Sales, Networking, Relationship building, PAAS, Customer support, B2B Sales"
239,ML / Data Scientist / Gen AI Specialist,Aiqod,Pune,0-4 Yrs,"software architecture, Interpersonal skills, data science, Data modeling, Analytical, Machine learning, Data structures, Statistics"
240,Data Scientist /AIML Engineer-MSys Technologies,MSys Technologies,"Hybrid - Pune, Chennai, Bengaluru",10-17 Yrs,"Data Science, Artificial Intelligence, Aiml, LLM, Python, Pytorch, langchain, API"
241,"Distinguished, Data Scientist",Walmart,Bengaluru,2-7 Yrs,"System architecture, Networking, data science, spark, Machine learning, enterprise business, Data processing, data visualization"
242,Data Scientist III,Walmart,Bengaluru,4-7 Yrs,"Supply chain, Computer science, Prototype, data science, Machine learning, SEZ, Information technology, Business operations"
243,Data Scientist - Digital Solutions,Siemens,Bengaluru,5-8 Yrs,"Renewable energy, Analytical, Machine learning, Cloud, Agile, Manager Technology, Siemens, Open source"
244,Data Scientist,Ssms Infotech,Bengaluru,2-7 Yrs,"Statistical analysis, Data mining, Analysis, Data, Statistics"
245,Data Scientist,Schneider Electric,Bengaluru,6-8 Yrs,"Computer science, Data management, Analytical, Machine learning, Agile, Information retrieval, Open source, Analytics"
246,Data Scientist,Wipro,"Hybrid - Hyderabad, Pune, Bengaluru",6-9 Yrs,"Natural Language Processing, Dl, Machine Learning, Mistral, Python, Tensorflow, Vector db, Azure/GCP/Lambda"
247,Data Scientist,Flipkart,Bengaluru,3-8 Yrs,"Machine Learning, Mathematical Optimization, python, natural language processing, Mathematical and Statistical Modeling, data mining, deep learning, tensorflow"
248,GN SC&O - S&P Data Scientist - Specialist,Accenture,Bengaluru,3-7 Yrs,"project management, data analysis, spend analysis, team management, data science, oracle, data management, sas"
249,Advanced Data Scientist,Honeywell,"Greater Noida, Bengaluru",6-7 Yrs,"HVAC, data science, GCP, Artificial Intelligence, Machine learning, Project planning, Monitoring, SQL"
250,Data Scientist 4,HP,Bengaluru,8-12 Yrs,"Coding, GCP, MySQL, Data quality, Firmware, Middleware, Downstream, SQL"
251,Data Scientist,AstraZeneca India Pvt. Ltd,Bengaluru,8-13 Yrs,"Pharma, clinical development, Healthcare, Epidemiology, Analytics, Monitoring, Public health, clinical data"
252,Data Scientist,Wipro,Bengaluru,2-7 Yrs,"Data Science, GenAI, NLP, Artificial Intelligence, LLM, AWS, Machine Learning, Python"
253,Data Scientist III,Walmart,Bengaluru,3-6 Yrs,"Computer science, Machine learning, Information retrieval, Natural language processing, Stakeholder management, Continuous improvement, Information technology, Distribution system"
254,Data Scientist III - MLE,Walmart,Bengaluru,2-7 Yrs,"Computer science, Computer vision, Networking, data science, Machine learning, data governance, SEZ, big data"
255,DATA SCIENTIST III,Walmart,Bengaluru,2-7 Yrs,"Computer science, Retail, Networking, data science, Machine learning, SEZ, Information technology, Statistics"
256,Data Scientist,Amazon,Bengaluru,3-6 Yrs,"Computer vision, Data analysis, Statistical modeling, SAS, Machine learning, Data processing, Data quality, MATLAB"
257,Data Scientist,Tech Mahindra,Bengaluru,11-14 Yrs,"Data Science, GenAI, Agentic AI, Advance RAG, NLP, Traditional ML, Deep Learning, Ml"
258,Data Scientist,Tech Mahindra,Bengaluru,8-11 Yrs,"Data Science, GenAI, Agentic AI, Advance RAG, NLP, Traditional ML, Deep Learning, Ml"
259,EY GDS - AIML - Data Scientist,EY,"Kolkata, Hyderabad, Bengaluru",3-8 Yrs,"Generative AI, Natural Language Processing, Aiml, Machine Learning, Python, Data Science, Artificial Intelligence, Pandas"
260,Data Scientist,Ericsson,Bengaluru,4-6 Yrs,"Wireless, Computer science, Networking, Linux, WAN, Machine learning, Predictive modeling, Analytics"
261,Data Scientist,Apple,Bengaluru,7-9 Yrs,"Computer science, data science, Data modeling, GCP, Machine learning, Information retrieval, big data, AWS"
262,Data Scientist,Merkle Science,Bengaluru,8-13 Yrs,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
263,Data Scientist,Juniper Networks,Bengaluru,4-8 Yrs,"snowflake, ai solutions, presentation skills, relational sql, artificial intelligence, ml, SQL, Data"
264,Data Scientist (Generative AI),Philips,Bengaluru,10-15 Yrs,"Computer vision, deep learning, Diversity and Inclusion, Machine learning, Healthcare, Natural language processing, Research, Open source"
265,Data Scientist,SAP,Bengaluru,4-7 Yrs,"Data analysis, Consulting, Machine learning, Javascript, Agile, Software implementation, Analytics, SQL"
266,Data Scientist - Gen AI,Capco,Bengaluru,7-8 Yrs,"Delivery excellence, deep learning, Database management, Machine learning, Management consulting, Banking, Manager Technology, microsoft"
267,Data Scientist III,Inmobi,Bengaluru,5-8 Yrs,"Cloud computing, Operations research, Machine learning, Conceptualization, Genetics, Data processing, Weaving, Analytics"
268,Data Scientist - Digital Solutions,Siemens,Bengaluru,5-8 Yrs,"software development, Azure, AzureML, Docker, MLOps framework, Scikit-learn, TensorFlow/Keres, Kubernetes"
269,Data Scientist,Capgemini,Bengaluru,4-6 Yrs,"nltk, sql, data science, machine learning algorithms, scipy, gensim, scikit-learn, golang"
270,Data Scientist,Hexaware Technologies,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",4-9 Yrs,"Data Science, Artificial Intelligence, gen AI, Generative Artificial Intelligence, Deep Learning, Machine Learning, Intelligence, Gen"
271,"Scientist, Data",Arise Virtual Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"Data analysis, Automation, Business analytics, Analytical, Strategic planning, Predictive modeling, Business intelligence, Operations"
272,Data Scientist,Accolite Software India Pvt Ltd,"Hyderabad, Bengaluru",3-7 Yrs,"Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python, Machine"
273,Urgent Hiring For FullStack-Data Scientist-Immediate Joiners-Gurgaon,Genpact,"Hybrid - Gurugram, Bengaluru",4-9 Yrs,"Natural Language Processing, Machine Learning Algorithms, Object Oriented Programming, Large Language Models, Python, Oops Programming, Ml Algorithms, Deep Learning"
274,ML Engineer / Data Scientist,Collective S,Hyderabad,1-4 Yrs,"GIT, Regression, jupiter, Machine Learning, Python, Pandas, Machine Learning Algorithms, numpy"
275,Data Scientist For Leading AMC,M/S Forward,Mumbai,4-9 Yrs,"Data Scientist, Data Science, predictive modeing, Statistical Modeling, Data Analysis, Data Visualization, Dashboards, Machine Learning"
276,Data Scientist & Analyst,Itday,Bengaluru,5-7 Yrs,"Computer science, C++, Data analysis, Simulation, Coding, MySQL, Machine learning, Javascript"
277,Forecasting Analyst / Data Scientist,Locus It Services,Bengaluru,2-7 Yrs,"BPO, Analyst, Statistical modeling, Process documentation, Analytical, Trend analysis, Budgeting, Forecasting"
278,Data Scientist(Women in Tech Comeback Program),Qween,"Hybrid - Hyderabad, Chennai",10-15 Yrs,"Python, LightGBM, PySpark, Hadoop, Image Recognition, Scikit-learn, Video Analysis, NumPy"
279,Data Scientist,Wipro,Hybrid - Bengaluru,5-10 Yrs,"Oil And Gas, Machine Learning, Python, Energy, Artificial Intelligence, Azure Databricks, Microsoft Azure, Oil"
280,Data Scientist,NA,"Hybrid - Pune, Gurugram, Bengaluru",3-8 Yrs,"Model Development, Predictive Modeling, Logistic Regression, Decision Tree, Linear Regression, Statistical Modeling, Collections, Machine Learning"
281,"Data Scientist with Python, Artificial intelligence, Machine Learning",I,Chennai,4-6 Yrs,"Data Scientist, AI, Machine Learning, Python, Machine, Intelligence, Data, Artificial Intelligence"
282,Data Scientist Position | Work on Real-World Business Challenges,Job Seeks 4u Consultancy Services,Chennai(Oragadam),2-7 Yrs,"Python Programming, Machine Learning, Data Science, Statistical Modeling, Big Data Technologies, Azure, Hadoop, Natural Language Processing"
283,Opportunity | Data Scientist | Tavant India,Tavant Technologies,"Hybrid - Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,"python, NLP, Classification, machine learning, Regression, Data, Natural language processing, Machine"
284,Data Scientist 1,Paypal,Bengaluru,3-5 Yrs,"Data analysis, Strategic partnerships, Diversity and Inclusion, Manager Technology, Customer experience, Risk management, Forecasting, Monitoring"
285,Data Scientist with Gen AI,Zensar,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,"Training, Data analysis, Usage, Machine learning, Management, AWS, Python, Gen"
286,TS - Data Scientist,Srivango,"Bhubaneswar, Pune, Bengaluru",4-9 Yrs,"python, Data Scientist, Tensorflow, Pytorch, Artificial Intelligence, Machine Learning, Deep Learning, Scikit-Learn"
287,Data Scientist,Paypal,Bengaluru,2-7 Yrs,"Mining, Computer science, RCA, Data analysis, VAS, Investment banking, Data mining, Analytics"
288,Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,"Solution architecture, deep learning, SAS, Analytical, Artificial Intelligence, Machine learning, data visualization, SQL"
289,Data Scientist,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,"Automation, orchestration, Coding, Analytical, Machine learning, SCALA, Infrastructure, Mentor"
290,Data Scientist 1,Paypal,Bengaluru,8-12 Yrs,"Automation, Workforce planning, Back office, Scheduling, Budgeting, Risk management, Forecasting, Operations"
291,Data Scientist Sahaj Software,Sahaj Retail Limited,"Hyderabad, Pune, Chennai, Bengaluru",7-12 Yrs,"Computer science, Text mining, Computer vision, Coding, Machine learning, Information retrieval, HTML, Data mining"
292,Data Scientist,Pega,Bengaluru,6-11 Yrs,"Product management, Logistic regression, Core Java, PDF, Neural networks, Machine learning, Agile, Pega"
293,Data Scientist - BLR,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive"
294,Data Scientist - Telco,PayU,Bengaluru,4-7 Yrs,"Telecom, NoSQL, Neural networks, Analytical, Machine learning, Forecasting, Operations, SQL"
295,Marketing Data Scientist,Paypal,Bengaluru,1-2 Yrs,"Operations research, Project management, Analytical, Management consulting, Machine learning, Business intelligence, SQL, Python"
296,Data Scientist,Persistent,"Hybrid - Pune, Chennai, Bengaluru",4-8 Yrs,"Prompt Engineering, Generative AI, LangChain, Fast API, API, Artificial Intelligence, Engineering, Data"
297,Data Scientist 1,Paypal,Bengaluru,4-9 Yrs,"Statistical programming, Data analysis, data science, Analytical, QlikView, Business solutions, Continuous improvement, Teradata"
298,Data Scientist - FP&A,Paypal,Bengaluru,3-6 Yrs,"Cloud computing, Automation, data science, Analytical, Risk assessment, Financial planning, Machine learning, Operations"
299,Data Scientist (Telco),PayU,"Gurugram, Bengaluru",4-7 Yrs,"Telecom, Logistic regression, Analytical, Social media, Machine learning, Forecasting, Operations, Financial services"
300,Data Scientist 1,Paypal,Bengaluru,8-12 Yrs,"data science, Analytical, Consulting, Machine learning, Hypothesis Testing, Customer engagement, Analytics, SQL"
301,Data Scientist,Paypal,Bengaluru,8-12 Yrs,"Statistical programming, Data analysis, Payment processing, Analytical, Continuous improvement, Business solutions, Teradata, Analytics"
302,Data Scientist,Gojek,Bengaluru,1-2 Yrs,"Operations research, Prototype, Version control, Machine learning, Data processing, SQL, Python, Technical documentation"
303,Data Scientist,Tokopedia,Bengaluru,1-2 Yrs,"Computer science, Operations research, Prototype, Version control, Formulation, Machine learning, Data processing, SQL"
304,Data Scientist / ML Engineer,Rarr Technologies,Bengaluru,5-10 Yrs,"Computer science, Automation, Version control, GIT, Analytical, Machine learning, Data collection, Distribution system"
305,DATA Scientist experience openings in Bangalore,ART Technologies,"Hyderabad, Bangalore Rural, Chennai(Chennai Central RS)",4-8 Yrs,"Mechanical Engineering, Machine Learning, Python, Data Science, Data Engineering, Mechine Learning, Data Analysis, Data Analytics"
306,Data Scientist,BH,Bengaluru,4-7 Yrs,"vision solutions, Opencv, pytorch, machine learning, Ml, Data Science, python, yello"
307,Data Scientist,Tech Mahindra,Pune,11-14 Yrs,"Mongo, Lambda Architecture, Storm, performance tuning, PySpark, Hadoop CLI, Hadoop, Kafka"
308,Data Scientist,Indusind Bank,Gurugram,1-6 Yrs,"strong interpersonal skills, data analysis, team management, management skills, presentation skills, python, natural language processing, business analysis"
309,Data Scientist,Adhiran Infotech,Chennai,2-5 Yrs,Data Scientist
310,Data Scientist & Gen AI Consultant,SAP,Gurugram,10-15 Yrs,"Business process, System architecture, Cloud computing, GIT, Consulting, Open source, Analytics, Ariba"
311,Data Scientist,Havells,Noida,8-12 Yrs,"PySpark, Python, SQL, Hive, MLOp, Hadoop, Data"
312,Data Scientist,DTC Infotech,Mumbai,2-4 Yrs,"python, it systems administration, data analysis, data management, modeling, spotfire, analytics tool, visual analytics"
313,Data Scientist,Adani Group,Hyderabad,5-8 Yrs,"Data Science, Pytorch, Generative Ai, Natural Language Processing, Process, Languages, Artificial Intelligence, Science"
314,Data Scientist,Hdfc Bank,Chennai,8-13 Yrs,"Python, Data Science, Gen AI, NLP, AI & ML, Data Analytics, Machine Learning, Gen"
315,Data Scientist,Sourced Group,Pune,3-7 Yrs,"Root cause analysis, GIT, Production support, Cloud, Customer handling, Customer support, Data mining, Operations"
316,Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Data Scientist
317,Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,"Computer science, Operations research, data science, Bfsi, Network analysis, Machine learning, Social networking, Natural language processing"
318,Data Scientist,Ericsson,Noida,8-12 Yrs,"Computer vision, orchestration, GCP, Analytical, Machine learning, Programming, Data processing, SQL"
319,Data Scientist - DSU,Indusind Bank,Gurugram,2-5 Yrs,"strong interpersonal skills, data analysis, team management, management skills, presentation skills, python, natural language processing, business analysis"
320,Technical Specialist - Data Scientist,NTT DATA,New Delhi,5-10 Yrs,"analytical, scala, data mining, soc, siem, tools, artificial intelligence, deep learning"
321,Data Scientist,Capgemini,Pune,6-11 Yrs,"nltk, sql, data science, machine learning algorithms, scipy, gensim, scikit-learn, golang"
322,Risk and Finance Data Scientist,Capgemini,Pune,4-9 Yrs,"algorithms, natural language processing, machine learning, deep learning, data privacy, python, data analysis, data analytics"
323,Data Scientist,Ericsson,Noida,8-13 Yrs,"Computer vision, orchestration, GCP, Analytical, Machine learning, Programming, Data processing, SQL"
324,Data Scientist - AI/ML,Trent Limited,Mumbai (All Areas),4-7 Yrs,"Artificial Intelligence, Machine Learning, Data Science, Azure Bot Framework, Azure Machine Learning, Predictive Modeling, Logistic Regression, Regression"
325,Data Scientist,Praval Infotech,Hyderabad,8-13 Yrs,"deep learning, Web analytics, Machine learning, Shell scripting, Manager Technology, Application software, Monitoring, Analytics"
326,Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,"Automation, Front end, Machine learning, Javascript, Data processing, HTML, Application development, Customer support"
327,Data Scientist,Orange Business Services,Gurugram,8-13 Yrs,"Automation, Front end, Machine learning, Javascript, Data processing, HTML, Application development, Customer support"
328,Data Scientist,Xebia Academy Global,Remote,8-10 Yrs,"Mining, Text mining, Logistic regression, Machine learning, Data mining, Open source, Continuous improvement, Forecasting"
329,Data Scientist,Ltimindtree,Pune,8-13 Yrs,"Automation, data science, Data modeling, Project management, Data collection, Engineering Manager, Regression analysis, Business intelligence"
330,"Data Scientist I, FinTech",Uber,Hyderabad,5-10 Yrs,"Mining, Root cause analysis, Agile, Taxation, data visualization, Bioinformatics, Analytics, SQL"
331,Data Scientist,Capgemini,Hyderabad,5-10 Yrs,"python, natural language processing, machine learning, deep learning, data science, gsm, rf engineering, data analysis"
332,Data Scientist - Customer & Marketing,Trent Limited,Mumbai (All Areas),6-8 Yrs,"Market Mix Modelling, Machine Learning, Retail Analytics, Linear Regression, Customer Analytics, Predictive Modeling, Decision Tree, Logistic Regression"
333,Senior Data Scientist / Machine Learning Engineer,Arivonix,Remote,5-10 Yrs,"Performance tuning, System architecture, Backend, Coding, GCP, Debugging, Machine learning, Data structures"
334,Senior Machine Learning Engineer / Data Scientist,Harmony Data Integration Technologies,Mohali,5-7 Yrs,"Machine Learning, Data Science, Ultralytics YOLO, PyTorch, OpenCV, Vertex AI, CI/CD, Model Development"
335,Sr. Data Scientist/ Sr. Machine Learning Engineer,Go Digital Technology Consulting,Mumbai,4-7 Yrs,"Computer vision, Backend, GCP, Neural networks, Analytical, Machine learning, Data collection, Continuous improvement"
336,Data Scientist / Business Analyst,Leading Client,"Mumbai, Gurugram, Chennai",2-4 Yrs,"Model development, project management, python, r, data science, sas, Hypothesis Testing, power bi"
337,Lead Data Scientist - Advanced Machine Learning,Target,Bengaluru,8-10 Yrs,"hive, python, sql, tensorflow, hadoop, kubernetes, algorithms, data analysis"
338,Lead Gen AI Data Scientist - GenAI,Neal Analytics,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",4-9 Yrs,"Career development, GCP, Analytical, Machine learning, Application development, Open source, Analytics, SQL"
339,AI/Data Scientist Lead,Zzazz,Bengaluru,4-9 Yrs,"deep learning, Team management, digital content, GCP, Machine learning, Design development, Natural language processing, SQL"
340,Lead Data Scientist - Advanced Machine Learning,Target,Bengaluru,5-9 Yrs,"Supply chain, Business process, Data analysis, Machine learning, Network security, Data structures, Troubleshooting, SQL"
341,Lead Data Scientist Advanced Machine Learning,Target,Bengaluru,5-9 Yrs,"Lead Data Scientist Advanced Machine Learning, Data, Machine, Machine learning"
342,Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,"Data analysis, data science, Time management, Debugging, Production, Data Analyst, Data analytics, SQL"
343,Python LLM Data Scientist/Analyst,Turing Global India,Remote,2-5 Yrs,"Analytical skills, Data analysis, data science, Artificial Intelligence, Programming, Data analytics, SQL, Python"
